-5.094,0.373
-5.069,0.349
-5.044,0.326
-5.019,0.302
-4.994,0.278
-4.969,0.253
-4.944,0.229
-4.918,0.205
-4.893,0.180
-4.868,0.155
-4.843,0.130
-4.818,0.105
-4.793,0.080
-4.767,0.055
-4.742,0.030
-4.717,0.005
-4.692,-0.020
-4.667,-0.046
-4.642,-0.071
-4.616,-0.096
-4.591,-0.121
-4.566,-0.146
-4.541,-0.171
-4.516,-0.195
-4.491,-0.220
-4.466,-0.244
-4.440,-0.269
-4.415,-0.293
-4.390,-0.317
-4.365,-0.341
-4.340,-0.364
-4.315,-0.387
-4.289,-0.410
-4.264,-0.433
-4.239,-0.456
-4.214,-0.478
-4.189,-0.500
-4.164,-0.522
-4.138,-0.543
-4.113,-0.564
-4.088,-0.584
-4.063,-0.605
-4.038,-0.625
-4.013,-0.644
-3.988,-0.663
-3.962,-0.682
-3.937,-0.700
-3.912,-0.718
-3.887,-0.735
-3.862,-0.752
-3.837,-0.768
-3.811,-0.784
-3.786,-0.799
-3.761,-0.814
-3.736,-0.829
-3.711,-0.842
-3.686,-0.856
-3.660,-0.868
-3.635,-0.881
-3.610,-0.892
-3.585,-0.903
-3.560,-0.914
-3.535,-0.924
-3.510,-0.933
-3.484,-0.942
-3.459,-0.950
-3.434,-0.958
-3.409,-0.964
-3.384,-0.971
-3.359,-0.977
-3.333,-0.982
-3.308,-0.986
-3.283,-0.990
-3.258,-0.993
-3.233,-0.996
-3.208,-0.998
-3.182,-0.999
-3.157,-1.000
-3.132,-1.000
-3.107,-0.999
-3.082,-0.998
-3.057,-0.996
-3.032,-0.994
-3.006,-0.991
-2.981,-0.987
-2.956,-0.983
-2.931,-0.978
-2.906,-0.972
-2.881,-0.966
-2.855,-0.959
-2.830,-0.952
-2.805,-0.944
-2.780,-0.935
-2.755,-0.926
-2.730,-0.916
-2.704,-0.906
-2.679,-0.895
-2.654,-0.884
-2.629,-0.871
-2.604,-0.859
-2.579,-0.846
-2.554,-0.832
-2.528,-0.818
-2.503,-0.803
-2.478,-0.788
-2.453,-0.772
-2.428,-0.756
-2.403,-0.739
-2.377,-0.722
-2.352,-0.704
-2.327,-0.686
-2.302,-0.668
-2.277,-0.649
-2.252,-0.629
-2.226,-0.610
-2.201,-0.590
-2.176,-0.569
-2.151,-0.548
-2.126,-0.527
-2.101,-0.505
