-12.566,1.000
-12.541,1.000
-12.516,1.001
-12.491,1.003
-12.466,1.005
-12.441,1.008
-12.415,1.012
-12.390,1.016
-12.365,1.021
-12.340,1.026
-12.315,1.033
-12.290,1.040
-12.264,1.047
-12.239,1.056
-12.214,1.065
-12.189,1.076
-12.164,1.087
-12.139,1.099
-12.114,1.112
-12.088,1.126
-12.063,1.141
-12.038,1.158
-12.013,1.175
-11.988,1.194
-11.963,1.215
-11.937,1.237
-11.912,1.260
-11.887,1.285
-11.862,1.312
-11.837,1.341
-11.812,1.373
-11.786,1.406
-11.761,1.443
-11.736,1.482
-11.711,1.525
-11.686,1.570
-11.661,1.620
-11.636,1.675
-11.610,1.734
-11.585,1.798
-11.560,1.869
-11.535,1.947
-11.510,2.033
-11.485,2.129
-11.459,2.235
-11.434,2.354
-11.409,2.489
-11.384,2.641
-11.359,2.815
-11.334,3.015
-11.308,3.249
-11.283,3.524
-11.258,3.852
-11.233,4.252
-11.208,4.747
-11.183,5.376
-11.158,6.202
-11.132,7.333
-11.107,8.976
-11.082,11.578
-11.057,16.317
-11.032,27.657
-11.007,90.857
-10.981,-70.667
-10.956,-25.446
-10.931,-15.523
-10.906,-11.173
-10.881,-8.731
-10.856,-7.169
-10.830,-6.085
-10.805,-5.288
-10.780,-4.678
-10.755,-4.197
-10.730,-3.808
-10.705,-3.487
-10.680,-3.217
-10.654,-2.988
-10.629,-2.792
-10.604,-2.621
-10.579,-2.471
-10.554,-2.339
-10.529,-2.221
-10.503,-2.116
-10.478,-2.022
-10.453,-1.937
-10.428,-1.860
-10.403,-1.790
-10.378,-1.726
-10.352,-1.668
-10.327,-1.614
-10.302,-1.565
-10.277,-1.519
-10.252,-1.477
-10.227,-1.438
-10.202,-1.402
-10.176,-1.369
-10.151,-1.338
-10.126,-1.309
-10.101,-1.282
-10.076,-1.257
-10.051,-1.234
-10.025,-1.212
-10.000,-1.192
-9.975,-1.173
-9.950,-1.156
-9.925,-1.140
-9.900,-1.124
-9.874,-1.110
-9.849,-1.097
-9.824,-1.085
-9.799,-1.074
-9.774,-1.064
-9.749,-1.055
-9.724,-1.046
-9.698,-1.039
-9.673,-1.032
-9.648,-1.025
-9.623,-1.020
-9.598,-1.015
-9.573,-1.011
-9.547,-1.008
-9.522,-1.005
-9.497,-1.003
-9.472,-1.001
-9.447,-1.000
-9.422,-1.000
-9.396,-1.000
-9.371,-1.001
-9.346,-1.003
-9.321,-1.005
-9.296,-1.008
-9.271,-1.012
-9.246,-1.016
-9.220,-1.021
-9.195,-1.027
-9.170,-1.033
-9.145,-1.040
-9.120,-1.048
-9.095,-1.057
-9.069,-1.067
-9.044,-1.077
-9.019,-1.088
-8.994,-1.101
-8.969,-1.114
-8.944,-1.128
-8.918,-1.143
-8.893,-1.160
-8.868,-1.178
-8.843,-1.197
-8.818,-1.217
-8.793,-1.239
-8.768,-1.263
-8.742,-1.289
-8.717,-1.316
-8.692,-1.345
-8.667,-1.377
-8.642,-1.411
-8.617,-1.448
-8.591,-1.487
-8.566,-1.530
-8.541,-1.576
-8.516,-1.627
-8.491,-1.682
-8.466,-1.741
-8.440,-1.807
-8.415,-1.879
-8.390,-1.958
-8.365,-2.045
-8.340,-2.141
-8.315,-2.249
-8.290,-2.370
-8.264,-2.506
-8.239,-2.661
-8.214,-2.838
-8.189,-3.042
-8.164,-3.281
-8.139,-3.562
-8.113,-3.898
-8.088,-4.308
-8.063,-4.817
-8.038,-5.467
-8.013,-6.323
-7.988,-7.504
-7.962,-9.235
-7.937,-12.014
-7.912,-17.198
-7.887,-30.290
-7.862,-127.198
-7.837,57.820
-7.812,23.562
-7.786,14.802
-7.761,10.795
-7.736,8.499
-7.711,7.013
-7.686,5.972
-7.661,5.203
-7.635,4.612
-7.610,4.144
-7.585,3.764
-7.560,3.450
-7.535,3.187
-7.510,2.962
-7.484,2.769
-7.459,2.601
-7.434,2.453
-7.409,2.323
-7.384,2.207
-7.359,2.104
-7.334,2.011
-7.308,1.927
-7.283,1.851
